Drug1,Drug2,Severity,Type,Mechanism,Clinical Effect,Recommendation,Monitoring,Dose Dependence,Alternative,Reference
Lithium,ACE inhibitors,Major,Pharmacokinetic,ACE inhibitors may reduce lithium clearance,Increased lithium concentration and toxicity,Monitor lithium concentration and renal function,Serum lithium and renal function,Yes,Consider alternative antihypertensive,Lithium prescribing information
Metformin,Alcohol,Major,Pharmacodynamic,Alcohol may increase risk of lactic acidosis and impair glucose control,Lactic acidosis and metabolic complications,Avoid excessive alcohol intake,Clinical status and glucose,Yes,Limit alcohol exposure,Metformin prescribing information
Metronidazole,Alcohol,Contraindicated,Pharmacodynamic,Disulfiram-like reaction,Flushing nausea vomiting and headache,Avoid alcohol during treatment and for recommended period after therapy,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Allopurinol,Moderate,Pharmacokinetic,May alter anticoagulant response,Possible increased anticoagulant effect,Monitor INR after initiation,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Sildenafil,Alpha blockers,Major,Pharmacodynamic,Additive vasodilatory effects,Hypotension and dizziness,Use only with appropriate dose separation and clinical monitoring,Blood pressure,Yes,Individualize therapy,Sildenafil prescribing information
Digoxin,Amiodarone,Major,Pharmacokinetic,Reduced digoxin clearance,Increased digoxin concentration and toxicity,Reduce/adjust digoxin as clinically appropriate and monitor,Digoxin level and ECG,Yes,Specialist-guided alternative or dose adjustment,Digoxin prescribing information
Nitroglycerin,Amlodipine,Moderate,Pharmacodynamic,Additive vasodilatory effects,Hypotension and dizziness,Monitor blood pressure,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Sildenafil,Amlodipine,Moderate,Pharmacodynamic,Additive vasodilatory effects,Additional blood pressure reduction,Monitor blood pressure and symptoms,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Amlodipine,Simvastatin,Moderate,Pharmacokinetic,Amlodipine increases simvastatin exposure,Increased myopathy risk,Limit simvastatin dose according to labeling,Muscle symptoms,Yes,Consider alternative statin,Simvastatin prescribing information
Methotrexate,Amoxicillin,Moderate,Pharmacokinetic,Penicillin antibiotics may reduce methotrexate renal clearance,Potential methotrexate toxicity,Monitor when combination is necessary,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Amoxicillin + Clavulanic Acid,Moderate,Pharmacodynamic,Antibiotic-associated alteration of anticoagulant response,Possible INR elevation and bleeding,Monitor INR during treatment,Drug labeling / Goodman & Gilman's,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Ciprofloxacin,Antacids,Major,Pharmacokinetic,Multivalent cations bind ciprofloxacin,Reduced antibiotic absorption,Separate administration according to product instructions,Clinical response,Yes,Use alternative administration schedule,Ciprofloxacin prescribing information
Levofloxacin,Antacids,Major,Pharmacokinetic,Chelation reduces gastrointestinal absorption,Reduced antibiotic efficacy,Separate administration,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Apixaban,Aspirin,Major,Pharmacodynamic,Additive anticoagulant and antiplatelet effects,Increased bleeding risk,Avoid unnecessary combination and monitor bleeding,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Apixaban,Clarithromycin,Major,Pharmacokinetic,Strong CYP3A4 and P-gp inhibition may increase apixaban exposure,Increased bleeding risk,Follow product-specific dosing recommendations and monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Apixaban,Clopidogrel,Major,Pharmacodynamic,Additive antithrombotic effects,Increased bleeding risk,Use only when clinically indicated and monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Apixaban,Fluconazole,Moderate,Pharmacokinetic,May increase factor Xa inhibitor exposure,Increased bleeding risk,Assess bleeding risk and concomitant therapy,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Apixaban,Ibuprofen,Major,Pharmacodynamic,NSAID platelet and GI effects with factor Xa inhibition,Increased bleeding risk,Avoid routine NSAID use,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Clopidogrel,Aspirin,Major,Pharmacodynamic,Additive platelet inhibition,Increased bleeding risk,Use only when dual antiplatelet therapy is indicated,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Dabigatran,Aspirin,Major,Pharmacodynamic,Additive antithrombotic effects,Increased bleeding risk,Use only when indicated and monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Aspirin,Diclofenac,Moderate,Pharmacodynamic,Additive platelet and GI effects,Increased bleeding risk,Avoid unnecessary combination,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Aspirin,Ibuprofen,Moderate,Pharmacodynamic,Additive GI and antiplatelet effects,Increased GI bleeding risk and possible interference with aspirin antiplatelet effect,Avoid unnecessary combination and use lowest effective NSAID exposure,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Aspirin,Methotrexate,Major,Pharmacokinetic/Pharmacodynamic,NSAID/salicylate effects may reduce methotrexate clearance and increase toxicity,Myelosuppression mucositis and renal toxicity risk,Use cautiously and monitor according to methotrexate dose,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Aspirin,Naproxen,Moderate,Pharmacodynamic,Additive platelet and GI effects,Increased bleeding risk,Avoid unnecessary combination,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Rivaroxaban,Aspirin,Major,Pharmacodynamic,Additive antithrombotic effects,Increased bleeding risk,Use only when indicated and monitor,Drug labeling,Context dependent,Review therapy and consider a suitable alternative when appropriate,FDA/approved product labeling; standard clinical pharmacology references
Warfarin,Aspirin,Major,Pharmacodynamic,Additive anticoagulant and antiplatelet effects,Increased bleeding risk,Avoid routine combination unless specifically indicated,INR and bleeding signs,Yes,Use alternative analgesic when appropriate,Warfarin prescribing information
Atorvastatin,Clarithromycin,Major,Pharmacokinetic,CYP3A4 inhibition increases atorvastatin exposure,Myopathy and rhabdomyolysis risk,Avoid or use dose limitation according to product labeling,Muscle symptoms and CK when indicated,Yes,Consider rosuvastatin or alternative antibiotic,Atorvastatin prescribing information
Azithromycin,Digoxin,Moderate,Pharmacokinetic,May increase digoxin exposure in some patients,Digoxin toxicity,Monitor digoxin concentration and clinical status,Digoxin level and ECG,Yes,Consider alternative antibiotic,Digoxin prescribing information
