Drug,Generic Name,Therapeutic Class,Pharmacological Class,Indication,Route,Mechanism,Renal Impairment,Hepatic Impairment,Geriatric Considerations,Pediatric Considerations,Pregnancy,Lactation,Common Adverse Effects
Warfarin,Warfarin,Anticoagulant,Vitamin K antagonist,Prevention and treatment of thromboembolic disorders,Oral,Inhibits vitamin K epoxide reductase,Reduced clearance may increase bleeding risk,Increased sensitivity and bleeding risk,Lower doses may be required,Specialist dosing required,Use only when clearly indicated; contraindicated in pregnancy for most indications,Generally avoided when possible,Bleeding nausea skin reactions
Aspirin,Aspirin,Antiplatelet/Analgesic,NSAID and COX inhibitor,Pain fever and cardiovascular prevention,Oral,Irreversibly inhibits COX-1 and COX-2,Use cautiously in renal impairment,Use cautiously in significant hepatic disease,Increased GI and bleeding risk,Generally avoided for routine analgesia in children,Generally avoided especially in later pregnancy,Compatible at low doses when prescribed,Gastric irritation bleeding tinnitus
Paracetamol,Paracetamol,Analgesic/Antipyretic,Non-opioid analgesic,Pain and fever,Oral/IV,Central inhibition of prostaglandin synthesis,Usually preferred analgesic but dose adjustment may be needed in severe impairment,Caution in severe hepatic disease,Use conservative dosing in frail older adults,Commonly used with age-appropriate dosing,Generally considered compatible at recommended doses,Compatible at recommended doses,Nausea rash hepatotoxicity with overdose
Metformin,Metformin,Antidiabetic,Biguanide,Type 2 diabetes mellitus,Oral,Reduces hepatic glucose production and improves insulin sensitivity,Renal function must be assessed; avoid in severe renal impairment,Caution in significant hepatic impairment,Monitor renal function and dehydration,Used in children in selected indications,Generally used when benefits outweigh risks,Compatible with monitoring,Gastrointestinal upset vitamin B12 deficiency
Insulin,Insulin,Antidiabetic,Insulin hormone,Diabetes mellitus,Injection,Promotes glucose uptake and reduces hepatic glucose output,Dose may need reduction as renal function declines,Hepatic disease may alter glucose requirements,High hypoglycemia risk,Used extensively with specialist dosing,Can be used when clinically indicated,Compatible; monitoring required,Hypoglycemia weight gain injection-site reactions
Ciprofloxacin,Ciprofloxacin,Antibiotic,Fluoroquinolone,Bacterial infections,Oral/IV,Inhibits bacterial DNA gyrase and topoisomerase IV,Dose adjustment commonly required,Use cautiously in hepatic dysfunction,Increased CNS and tendon adverse-effect susceptibility,Restricted in children except selected indications,Generally avoided unless specifically indicated,Usually compatible with caution,Nausea diarrhea tendon injury CNS effects
Calcium,Calcium,Supplement,Mineral supplement,Calcium deficiency,Oral/IV,Provides elemental calcium,Monitor calcium and renal function in severe impairment,Generally no major adjustment,Monitor for constipation and hypercalcemia,Used with age-appropriate dosing,Generally compatible when indicated,Compatible,Constipation hypercalcemia
Digoxin,Digoxin,Cardiac glycoside,Cardiac glycoside,Heart failure and atrial fibrillation,Oral/IV,Inhibits Na/K ATPase and increases vagal activity,Dose reduction often required,Use cautiously in hepatic disease,Older adults are particularly sensitive,Specialist dosing and monitoring,Use only when clearly indicated,Compatible with monitoring,Nausea bradycardia arrhythmias visual disturbances
Verapamil,Verapamil,Cardiovascular agent,Calcium channel blocker,Hypertension and arrhythmias,Oral/IV,Blocks L-type calcium channels,Use cautiously in renal impairment,Reduce dose or monitor in hepatic impairment,Increased risk of bradycardia and constipation,Specialist use,Use only if clearly indicated,Generally compatible with caution,Constipation bradycardia hypotension
Ibuprofen,Ibuprofen,Analgesic/NSAID,NSAID,Pain and inflammation,Oral,Reversible COX inhibition,May worsen renal function and fluid retention,Avoid or use cautiously in significant hepatic disease,Greater GI renal and cardiovascular risk,Age-specific dosing required,NSAIDs should generally be avoided later in pregnancy,Short-term use generally compatible,GI irritation renal impairment edema
Lisinopril,Lisinopril,Antihypertensive,ACE inhibitor,Hypertension and heart failure,Oral,Inhibits conversion of angiotensin I to angiotensin II,Initial dosing requires renal assessment,Use cautiously in hepatic impairment,Monitor renal function and potassium,Specialist pediatric use,Contraindicated in pregnancy,Generally compatible with monitoring,Cough hyperkalemia hypotension
Clopidogrel,Clopidogrel,Antiplatelet,P2Y12 inhibitor,Prevention of thrombotic cardiovascular events,Oral,Irreversibly inhibits platelet P2Y12 receptors,Limited adjustment but bleeding risk requires monitoring,Use cautiously in significant hepatic disease,Monitor bleeding risk,Limited pediatric use,Use only when clearly indicated,Limited data; specialist advice required,Bleeding bruising diarrhea
Omeprazole,Omeprazole,Antiulcer,PPI,GERD and peptic ulcer disease,Oral,Irreversibly inhibits gastric H/K ATPase,Usually no adjustment but monitor long-term effects,Lower doses may be appropriate in significant hepatic impairment,Monitor long-term nutrient and bone effects,Age-specific dosing available,Generally considered compatible when indicated,Compatible with caution,Headache diarrhea abdominal pain
Simvastatin,Simvastatin,Lipid-lowering agent,Statin,Hyperlipidemia,Oral,Inhibits HMG-CoA reductase,Avoid or use cautiously in severe renal impairment,Contraindicated in active liver disease,Greater myopathy risk,Not routinely used in young children,Contraindicated in pregnancy,Contraindicated during breastfeeding,Myalgia elevated liver enzymes rhabdomyolysis
