Drug,Renal Impairment,Hepatic Impairment,Older Adults,Pregnancy,Lactation,Monitoring,Dosage Warnings,Reference
Warfarin,"Increased bleeding risk; close monitoring required.","Increased sensitivity and bleeding risk; monitor closely.","Higher bleeding risk; monitor INR closely.","Generally contraindicated except specialist-managed indications.","Specialist advice recommended.","INR, bleeding, interacting medicines, adherence.","Dose must be individualized; excessive anticoagulation causes bleeding.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Aspirin,"Use cautiously in significant renal impairment.","Use cautiously in significant hepatic impairment.","Higher GI and bleeding risk.","Avoid analgesic doses in pregnancy unless specifically indicated.","Use only when clinically indicated.","GI bleeding, renal function when prolonged, salicylate toxicity.","High doses increase GI bleeding and toxicity.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Metformin,"Assess eGFR; dose/use depends on renal function.","Use cautiously or avoid in significant hepatic impairment.","Monitor renal function more closely.","Use according to clinical indication and specialist guidance.","Generally compatible; clinical monitoring when appropriate.","eGFR, glucose, HbA1c, vitamin B12 during long-term use.","Accumulation and severe illness increase lactic acidosis risk.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Insulin,"Dose requirements may decrease; monitor glucose closely.","Dose may require adjustment; monitor glucose.","Increased hypoglycemia risk.","Commonly used when indicated under medical supervision.","Generally compatible when clinically indicated.","Blood glucose, HbA1c, hypoglycemia.","Dose-related hypoglycemia can be severe.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Ciprofloxacin,"Dose adjustment may be required.","Use cautiously in hepatic impairment.","Higher tendon and CNS adverse-effect risk.","Use only when clearly indicated.","Use only when clinically indicated.","Renal function, tendon symptoms, CNS effects, glucose when appropriate.","Separate from calcium, iron, magnesium and aluminum products.","Katzung Basic & Clinical Pharmacology"
Calcium,"Use cautiously; monitor for hypercalcemia in renal impairment.","Use cautiously if calcium metabolism is impaired.","Monitor for constipation and hypercalcemia.","Use according to clinical need.","Generally compatible at recommended doses.","Serum calcium when clinically indicated.","Excessive supplementation can cause hypercalcemia and renal complications.","Katzung Basic & Clinical Pharmacology"
Digoxin,"Dose reduction may be required; renal clearance is important.","Use cautiously.","Older adults often require lower doses.","Use only when clearly indicated.","Use with clinical monitoring.","Renal function, potassium, heart rate, digoxin level when appropriate.","Toxicity increases with excessive dose, renal impairment and hypokalemia.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Verapamil,"Use cautiously and monitor.","Dose adjustment/caution may be required.","Greater risk of bradycardia and hypotension.","Use only when clinically indicated.","Use cautiously with clinical monitoring.","BP, heart rate, ECG when indicated.","Dose-related bradycardia, hypotension and conduction abnormalities.","Katzung Basic & Clinical Pharmacology"
Ibuprofen,"May worsen renal function; avoid or use cautiously.","Use cautiously.","Higher GI, renal and cardiovascular risk.","Avoid routine use later in pregnancy.","Use only when clinically appropriate.","BP, renal function, GI bleeding.","Use lowest effective dose; avoid duplicate NSAIDs.","Katzung Basic & Clinical Pharmacology"
Lisinopril,"Monitor renal function and potassium; dose may require adjustment.","Use cautiously.","Monitor renal function and potassium carefully.","Contraindicated in pregnancy.","Specialist advice recommended.","BP, creatinine/eGFR, potassium.","Risk of hyperkalemia, renal dysfunction and hypotension.","Katzung Basic & Clinical Pharmacology"
Clopidogrel,"Use clinical judgment in significant renal impairment.","Use cautiously in significant hepatic impairment.","Bleeding risk may be increased.","Use only when clearly indicated.","Use only when benefits outweigh potential infant exposure.","Bleeding and CBC when clinically indicated.","Bleeding risk increases with other antithrombotic drugs.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Omeprazole,"Usually no major adjustment.","Dose reduction may be needed in severe hepatic impairment.","Review long-term therapy; monitor nutritional risks when appropriate.","Use when clinically indicated.","Generally compatible when clinically indicated.","Clinical response; magnesium/B12 when long-term.","Use lowest effective dose for appropriate duration.","Katzung Basic & Clinical Pharmacology"
Simvastatin,"Use cautiously in significant renal impairment.","Avoid in active liver disease.","Higher myopathy risk in older adults.","Contraindicated/not recommended during pregnancy.","Not recommended during breastfeeding.","Lipids, muscle symptoms, liver-related symptoms when indicated.","Higher doses and CYP3A4 inhibitors increase myopathy risk.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Clarithromycin,"Dose adjustment may be required.","Use cautiously in hepatic impairment.","Greater QT and interaction risk.","Use only when clearly indicated.","Use only when clinically appropriate.","QT risk, liver symptoms, interactions.","Important drug-interaction potential.","Katzung Basic & Clinical Pharmacology"
Sildenafil,"Lower starting dose may be appropriate in severe renal impairment.","Lower starting dose may be appropriate in severe hepatic impairment.","Greater exposure may occur; cautious dosing.","Use only when clinically indicated.","Use only when clinically indicated.","BP and adverse effects.","Contraindicated with nitrates due to severe hypotension.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Nitroglycerin,"Use cautiously depending on formulation and clinical status.","Use cautiously in severe hepatic impairment.","Greater hypotension and fall risk.","Use when clinically indicated.","Use when clinically necessary.","BP, heart rate, angina response.","Never combine with PDE5 inhibitors.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Lithium,"Renally eliminated; dose and monitoring depend on renal function.","Use cautiously.","High toxicity risk; monitor closely.","Specialist benefit-risk assessment required.","Specialist assessment and infant monitoring required.","Serum lithium, renal function, thyroid, sodium, hydration.","Small changes in dose or fluid balance can cause toxicity.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Hydrochlorothiazide,"Monitor renal function and electrolytes.","Use cautiously in significant hepatic disease.","Greater dehydration and electrolyte risk.","Use only when clinically indicated.","High doses may reduce milk supply.","BP, sodium, potassium, renal function.","Excess dosing causes dehydration and electrolyte abnormalities.","Katzung Basic & Clinical Pharmacology"
Methotrexate,"Significant renal impairment can cause severe toxicity; dose adjustment/avoidance may be required.","Avoid or use extreme caution in significant hepatic disease.","Higher toxicity risk; monitor closely.","Contraindicated for many indications due to embryo-fetal toxicity.","Avoid breastfeeding during therapy.","CBC, liver function, renal function.","Dose errors can cause life-threatening toxicity.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Trimethoprim,"Dose adjustment may be required.","Use cautiously.","Monitor potassium and renal function closely.","Use only when clearly indicated.","Use only when clinically appropriate.","CBC when prolonged, renal function, potassium.","Hyperkalemia risk increases with renal impairment.","Katzung Basic & Clinical Pharmacology"
Paracetamol,"Usually safe at recommended doses; caution in severe renal impairment.","Use cautiously in hepatic disease.","Use conservative dosing in frail or malnourished patients.","Generally compatible at recommended doses.","Generally compatible at recommended doses.","Total daily dose and liver function when high-risk.","High doses/overdose can cause severe hepatotoxicity.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Azithromycin,"Usually no major adjustment in mild-moderate impairment.","Use cautiously in significant hepatic dysfunction.","Greater QT risk in susceptible older adults.","Use when clinically indicated.","Use when clinically indicated.","QT risk, liver symptoms, clinical response.","QT prolongation and hepatotoxicity are important warnings.","Katzung Basic & Clinical Pharmacology"
Amoxicillin + Clavulanic Acid,"Dose adjustment required in significant renal impairment.","Use cautiously; monitor for hepatic injury.","Monitor renal function and adverse effects.","Use when clinically indicated.","Generally compatible when clinically indicated.","Renal function, hepatic symptoms, allergy.","Formulation-specific dosing is important in renal impairment.","Katzung Basic & Clinical Pharmacology"
Furosemide,"Dose response depends on renal function; monitor closely.","Use cautiously because fluid/electrolyte shifts may be harmful.","High dehydration and orthostatic hypotension risk.","Use when clinically indicated.","High doses may reduce milk supply.","BP, fluid status, weight, renal function, electrolytes.","Excess dosing causes dehydration and electrolyte depletion.","Katzung Basic & Clinical Pharmacology"
Spironolactone,"Hyperkalemia risk increases; monitor renal function and potassium.","Use cautiously in significant hepatic disease.","Monitor potassium and renal function closely.","Use only when clearly indicated.","Use only when clinically indicated.","Potassium, renal function, BP, volume status.","Hyperkalemia risk increases with renal impairment and potassium-raising drugs.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
Pantoprazole,"Usually no major adjustment.","Use cautiously in severe hepatic impairment.","Review long-term therapy for nutritional risks.","Use when clinically indicated.","Generally compatible when clinically indicated.","Clinical response; magnesium/B12 when prolonged.","Use lowest effective dose and reassess long-term need.","Katzung Basic & Clinical Pharmacology"
Telmisartan,"Monitor renal function and potassium.","Use cautiously in hepatic impairment.","Monitor BP, renal function and potassium.","Contraindicated in pregnancy.","Not preferred during lactation.","BP, creatinine/eGFR, potassium.","Hyperkalemia, hypotension and renal deterioration may occur.","Goodman & Gilman's Pharmacological Basis of Therapeutics"
